Subfolder,INT7,EJ2,EJ1
266994,210896,956,6774,
267077,241226,1117,5441,
267110,1004256,4529,38813,
266883,739036,3371,24449,
267072,441081,1983,13462,
266441,733109,2262,22523,
266886,1787722,8020,20858,
266882,325647,1512,12148,
266543,752954,2203,24988,
266944,715000,3220,28736,
